"VersionEffective","LOINC_NUM","Property","ValuePrior","ValueCurrent","ChangeReason"
"2.82","103683-9","SHORTNAME","Cells.CD3+HLA DR+/lymph NFr BAL","CD3+HLA-DR+ Cells/lymph NFr BAL",""
"2.82","103717-5","SHORTNAME","Crimean-Cngo vr RNA Bld Ql NAA+non-probe","Crimean-Cngo vr RNA Bld Ql NAA+n-prb",""
"2.82","103719-1","SHORTNAME","LASV RNA Bld Ql NAA+non-probe","LASV RNA Bld Ql NAA+n-prb",""
"2.82","103721-7","SHORTNAME","WNV RNA Bld Ql NAA+non-probe","WNV RNA Bld Ql NAA+n-prb",""
"2.82","103722-5","SHORTNAME","YFV RNA Bld Ql NAA+non-probe","YFV RNA Bld Ql NAA+n-prb",""
"2.82","103723-3","SHORTNAME","Leishmania spp DNA Bld Ql NAA+non-probe","Leishmania spp DNA Bld Ql NAA+n-prb",""
"2.82","103751-4","COMPONENT","Mental health directive form","Directive form",""
"2.82","103751-4","LONG_COMMON_NAME","Mental health Mental health directive form","Mental health Directive form",""
"2.82","103751-4","SHORTNAME","Mental health Mental Health dir form","Mental health Drctve form",""
"2.82","103812-4","SHORTNAME","PSi Score Ctx EEG","PSi Scre Ctx EEG",""
"2.82","103813-2","METHOD_TYP","","{Role}",""
"2.82","103827-2","METHOD_TYP","","{Role}",""
"2.82","103846-2","SURVEY_QUEST_TEXT","Over the last two weeks, how many hours per day have you spent surfing the net?","",""
"2.82","103971-8","COMPONENT","Rehabilitation progress note","Rehabilitation+progress note",""
"2.82","104010-4","TIME_ASPCT","RptPeriod","30D",""
"2.82","104011-2","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104011-2","SURVEY_QUEST_TEXT","There are times when we need to wait for transportation to pick us up. In the past 30 days, how often did you spend a long time waiting because you did not have the transportation that would allow you to come and go when you wanted?","",""
"2.82","104012-0","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104012-0","SURVEY_QUEST_TEXT","To get to the places they need to go, people might walk, bike, take a bus, train or taxi, drive a car, or get a ride. In the past 30 days, how often were you late getting somewhere because of a problem with transportation?","",""
"2.82","104013-8","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104013-8","SURVEY_QUEST_TEXT","In the past 30 days, how often did it take you longer to get somewhere than it would have taken you if you had different transportation?","",""
"2.82","104014-6","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104014-6","SURVEY_QUEST_TEXT","In the past 30 days, how often did you have to arrive somewhere early and wait because of the schedule of the bus, train, or person giving you a ride?","",""
"2.82","104015-3","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104015-3","SURVEY_QUEST_TEXT","In the past 30 days, how often did you have to reschedule an appointment because of a problem with transportation?","",""
"2.82","104016-1","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104016-1","SURVEY_QUEST_TEXT","In the past 30 days, how often did you skip going somewhere because of a problem with transportation?","",""
"2.82","104017-9","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104017-9","SURVEY_QUEST_TEXT","In the past 30 days, how often were you not able to leave the house when you wanted to because of a problem with transportation?","",""
"2.82","104018-7","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104018-7","SURVEY_QUEST_TEXT","In the past 30 days, how often did you worry about whether or not you would be able to get somewhere because of a problem with transportation?","",""
"2.82","104019-5","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104019-5","SURVEY_QUEST_TEXT","In the past 30 days, how often did you feel stuck at home because of a problem with transportation?","",""
"2.82","104020-3","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104020-3","SURVEY_QUEST_TEXT","In the past 30 days, how often do you think that someone did not invite you to something because of problems with transportation?","",""
"2.82","104021-1","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104021-1","SURVEY_QUEST_TEXT","In the past 30 days, how often did you feel like friends, family, or neighbors were avoiding you because you needed help with transportation?","",""
"2.82","104022-9","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104022-9","SURVEY_QUEST_TEXT","In the past 30 days, how often did you feel left out because you did not have the transportation you needed?","",""
"2.82","104023-7","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104023-7","SURVEY_QUEST_TEXT","In the past 30 days, how often did you feel bad because you did not have the transportation you needed?","",""
"2.82","104024-5","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104024-5","SURVEY_QUEST_TEXT","In the past 30 days, how often did you worry about inconveniencing your friends, family, or neighbors because you needed help with transportation?","",""
"2.82","104025-2","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104025-2","SURVEY_QUEST_TEXT","In the past 30 days, how often did problems with transportation affect your relationships with others?","",""
"2.82","104026-0","ANSWER_LIST_TYPE","NORMATIVE","EXAMPLE",""
"2.82","104026-0","SURVEY_QUEST_TEXT","In the past 30 days, how often did you feel embarrassed because you did not have the transportation you needed?","",""
"2.82","104094-8","SHORTNAME","Alive and w/o MV 3W Score Reported","Alive and w/o MV 3W Scre Reported",""
"2.82","104110-2","SHORTNAME","HBoV DNA Upper resp Ql NAA+non-probe","HBoV DNA Upper resp Ql NAA+n-prb",""
"2.82","104111-0","SHORTNAME","L pneumo DNA Upper resp Ql NAA+non-probe","L pneumo DNA Upper resp Ql NAA+n-prb",""
"2.82","104119-3","FORMULA","NA","",""
"2.82","104127-6","SHORTNAME","CK19 mRNA metastasis LN Ql NAA+non-probe","CK19 mRNA metastasis LN Ql NAA+n-prb",""
"2.82","104217-5","FORMULA","N/A","",""
"2.82","104249-8","COMPONENT","Platelet aggregation.adenosine diphosphate induced ATP secretion^2 umol/L","Platelet aggregation",""
"2.82","104249-8","LONG_COMMON_NAME","Platelet aggregation ADP induced ATP secretion in Blood --2 umol/L","Platelet aggregation in Blood by ADP induced ATP secretion 2 umol/L",""
"2.82","104249-8","METHOD_TYP","","Aggregometry.adenosine diphosphate induced ATP secretion.2 umol/L",""
"2.82","104249-8","SHORTNAME","PA ADP ATP secr 2 umol/L Bld","PA Bld ADP ATP secr 2 umol/L",""
"2.82","104250-6","COMPONENT","Platelet aggregation.collagen induced^2 ug/mL","Platelet aggregation",""
"2.82","104250-6","LONG_COMMON_NAME","Platelet aggregation collagen induced in Platelet rich plasma --2 ug/mL","Platelet aggregation in Platelet rich plasma by collagen induced 2 ug/mL",""
"2.82","104250-6","METHOD_TYP","","Aggregometry.collagen induced.2 ug/mL",""
"2.82","104250-6","SHORTNAME","PA Coll 2 ug/mL PRP","PA PRP Coll 2 ug/mL",""
"2.82","104359-5","SHORTNAME","B melitensis DNA Spec Ql NAA+non-probe","B melitensis DNA Spec Ql NAA+n-prb",""
"2.82","104362-9","SHORTNAME","Brucella DNA Spec NAA+non-probe","Brucella DNA Spec NAA+n-prb",""
"2.82","104481-7","COMPONENT","Platelet aggregation.EPINEPHrine induced^4 umol/L","Platelet aggregation",""
"2.82","104481-7","LONG_COMMON_NAME","Platelet aggregation EPINEPHrine induced in Plasma --4 umol/L","Platelet aggregation in Plasma by EPINEPHrine induced 4 umol/L",""
"2.82","104481-7","METHOD_TYP","","Aggregometry.epinephrine induced.4 umol/L",""
"2.82","104481-7","SHORTNAME","PA Epineph 4 umol/L Plas","PA Plas Epineph 4 umol/L",""
"2.82","104482-5","COMPONENT","Platelet aggregation.arachidonate induced^1 umol/L","Platelet aggregation",""
