"RecType","LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS"
"ADD","107407-9","Guidance for repositioning pacemaker lead","Find","Pt","Chest>Heart","Doc","RF","RAD"
"ADD","107415-2","Guidance for placement of magnetic seeds","Find","Pt","Chest>Axilla.right","Doc","US","RAD"
"ADD","107416-0","Guidance for placement of magnetic seeds","Find","Pt","Chest>Axilla.left","Doc","US","RAD"
"ADD","107417-8","Guidance for placement of magnetic seeds","Find","Pt","Breast.right","Doc","US","RAD"
"ADD","107418-6","Guidance for placement of magnetic seeds","Find","Pt","Breast.left","Doc","US","RAD"
"ADD","107419-4","Guidance for placement of magnetic seeds","Find","Pt","Chest>Axilla.bilateral","Doc","US","RAD"
"ADD","107420-2","Guidance for placement of magnetic seeds","Find","Pt","Breast.right","Doc","MR","RAD"
"ADD","107421-0","Guidance for placement of magnetic seeds","Find","Pt","Breast.left","Doc","MR","RAD"
"ADD","107422-8","Views^W radionuclide IV","Find","Pt","Breast.right","Doc","MG.Positron Emission","RAD"
"ADD","107423-6","Guidance for excision.vacuum","Find","Pt","Breast.right","Doc","XR.stereotactic","RAD"
"ADD","107427-7","Views^W contrast","Find","Pt","Breast.right","Doc","MG.spectral","RAD"
"ADD","107428-5","Views^W contrast","Find","Pt","Breast.left","Doc","MG.spectral","RAD"
"ADD","107433-5","Views^W radionuclide IV","Find","Pt","Breast.left","Doc","MG.Positron Emission","RAD"
"ADD","107434-3","Guidance for excision.vacuum","Find","Pt","Breast.left","Doc","XR.stereotactic","RAD"
"ADD","107435-0","Views^W contrast","Find","Pt","Breast.bilateral","Doc","MG.spectral","RAD"
"ADD","107443-4","Guidance for percutaneous thrombolysis","Find","Pt","Abdomen>Mesenteric vein","Doc","RF","RAD"
"BEFORE","107463-2","Maximum clot strength amplitude.extrinsic coagulation system activated.fibrinolysis","Len","Pt","Bld","Qn","","COAG"
"CHANGED","107463-2","Maximum clot strength amplitude","Len","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated.fibrinolysis","COAG"
"ADD","107525-8","Triticum aestivum Ab.IgE","ACnc","Pt","Ser/Plas","Qn","IA","ALLERGY"
"ADD","107528-2","Granulocytes","PrThr","Pt","Vag","Ord","Gram stain","HEM/BC"
"BEFORE","107529-0","Maximum clot strength amplitude.extrinsic coagulation system activated.fibrinolysis","ACnc","Pt","Bld","Qn","","COAG"
"CHANGED","107529-0","Maximum clot strength amplitude","ACnc","Pt","Bld","Qn","Thromboelastography.extrinsic coagulation system activated.fibrinolysis","COAG"
"BEFORE","107530-8","Maximum clot strength amplitude.extrinsic coagulation system activated","Len","Pt","Bld","Qn","","COAG"
